ID,Indoor.Total.Illumin.Diff.pct.,Indoor.Total.Illumin.Diff.,Hour.number,Natural.Illuminance.,Outdoor.Sky.Clearness.,Since.DR.Started.,Lighting.Power.Diff.,Lighting.Power.Diff.pct.One.Step.
33,0.425854091,153.1376,17,140.8331007,1.247615034,3,0.315,0
33,0.446105069,275.64768,15,224.116161,1.494902546,1,0.56,0.7
33,0.419024428,275.64768,16,264.0496062,1.466776513,2,0.56,0
33,0.328971132,153.1376,17,246.7366759,1.308717765,3,0.315,0
33,0.460619659,275.64768,15,204.6455537,2.67587983,1,0.56,0.7
33,0.444459545,275.64768,16,226.4038089,1.739933263,2,0.56,0
33,0.328780102,153.1376,17,247.0071457,1.438084256,3,0.315,0
33,0.460331951,275.64768,15,205.0195715,1.923460161,1,0.56,0.7
33,0.459925166,275.64768,16,205.5491878,3.013471044,2,0.56,0
33,0.330819144,153.1376,17,244.1362873,2.769428218,3,0.315,0
33,0.45947515,275.64768,15,206.1361805,1.790726079,1,0.56,0.7
33,0.441965306,275.64768,16,229.9038401,1.235477147,2,0.56,0
33,0.495498664,153.1376,17,90.28954393,1.029269158,3,0.315,0
33,0.448613381,275.64768,15,220.6613325,3.201478998,1,0.56,0.7
33,0.456409101,275.64768,16,210.1662924,3.169088012,2,0.56,0
33,0.284329851,153.1376,17,319.8233554,2.690332669,3,0.315,0
33,0.494481914,275.64768,15,163.6650463,5.250681809,1,0.56,0.7
33,0.486841203,275.64768,16,172.4138841,5.175112784,2,0.56,0
33,0.25879208,153.1376,17,372.9719028,3.415390083,3,0.315,0
33,0.432530816,275.64768,15,243.5078683,2.104195672,1,0.56,0.7
33,0.452644342,275.64768,16,215.1894889,2.164616538,2,0.56,0
33,0.289692831,153.1376,17,309.8526063,2.010004373,3,0.315,0
33,0.450803533,275.64768,15,217.6761621,3.36186709,1,0.56,0.7
33,0.445831693,275.64768,16,224.4950447,2.340439391,2,0.56,0
33,0.294130634,153.1376,17,301.8768508,2.018591424,3,0.315,0
33,0.503025196,275.64768,15,154.1974671,1.044783978,1,0.56,0.7
33,0.535325913,275.64768,16,121.1332301,1.02387605,2,0.56,0
33,0.397359911,153.1376,17,166.6196442,1.084362719,3,0.315,0
33,0.371192904,275.64768,15,348.8171411,1.378580412,1,0.56,0.7
33,0.317789573,275.64768,16,473.6081746,1.141723895,2,0.56,0
33,0.262011152,153.1376,17,365.7017782,1.215690466,3,0.315,0
33,0.448932121,275.64768,15,220.2250799,3.359888749,1,0.56,0.7
33,0.44427144,275.64768,16,226.6663955,2.519175787,2,0.56,0
33,0.309854317,153.1376,17,275.4565158,1.999500942,3,0.315,0
33,0.515733945,275.64768,15,140.694112,1.012613128,1,0.56,0.7
33,0.545063893,275.64768,16,111.9338723,1.062308701,2,0.56,0
33,0.494056979,153.1376,17,91.19139057,1.007490908,3,0.315,0
33,0.400412916,275.64768,15,294.6261629,1.186234724,1,0.56,0.7
33,0.461231999,275.64768,16,203.8510697,1.502950848,2,0.56,0
33,0.437259351,153.1376,17,131.4534412,1.233740834,3,0.315,0
33,0.462970861,275.64768,15,201.6064312,3.342486846,1,0.56,0.7
33,0.470413171,275.64768,16,192.1869068,2.89617491,2,0.56,0
33,0.39004126,153.1376,17,173.8509754,1.497638094,3,0.315,0
33,0.442088672,275.64768,15,229.7297991,2.429688757,1,0.56,0.7
33,0.429315921,275.64768,16,248.2801613,2.148590535,2,0.56,0
33,0.332856544,153.1376,17,241.3028705,1.544432698,3,0.315,0
33,0.52828433,275.64768,15,127.9966203,1.053412449,1,0.56,0.7
33,0.542712846,275.64768,16,114.1246491,0.999999719,2,0.56,0
33,0.508078406,153.1376,17,82.637449,0.999999687,3,0.315,0
33,0.43072134,275.64768,15,246.1851477,1.558300755,1,0.56,0.7
33,0.436624463,275.64768,16,237.532846,1.570106032,2,0.56,0
33,0.339590149,153.1376,17,232.1802992,1.22694151,3,0.315,0
33,0.551077869,275.64768,15,106.4149327,1.478768138,1,0.56,0.7
33,0.509278702,275.64768,16,147.4687436,1.186085392,2,0.56,0
33,0.368328808,153.1376,17,196.995298,1.124077471,3,0.315,0
33,0.458571274,275.64768,15,207.3186627,4.00580889,1,0.56,0.7
33,0.384561337,275.64768,16,323.0022937,1.964179503,2,0.56,0
33,0.227288926,153.1376,17,454.9894196,2.511509203,3,0.315,0
33,0.448737388,275.64768,15,220.4915319,3.521833313,1,0.56,0.7
33,0.354659693,275.64768,16,383.4349866,2.794745909,2,0.56,0
33,0.256725331,153.1376,17,377.7356622,1.672776932,3,0.315,0
33,0.523128976,275.64768,15,133.1386704,1.25122254,1,0.56,0.7
33,0.417267929,275.64768,16,266.8187657,1.330714432,2,0.56,0
33,0.300205539,153.1376,17,291.3411751,1.529520795,3,0.315,0
33,0.48601785,275.64768,15,173.3730661,1.597567164,1,0.56,0.7
33,0.329713223,275.64768,16,442.2401214,2.997993937,2,0.56,0
33,0.260072483,153.1376,17,370.0586152,3.004528299,3,0.315,0
33,0.453180175,275.64768,15,214.4694498,3.458873697,1,0.56,0.7
33,0.33855356,275.64768,16,420.4098361,3.63646435,2,0.56,0
33,0.21937935,153.1376,17,479.2812916,3.228977545,3,0.315,0
33,0.466833861,275.64768,15,196.6796531,1.216478802,1,0.56,0.7
33,0.442843959,275.64768,16,228.6663761,1.179369062,2,0.56,0
33,0.361592428,153.1376,17,204.740868,1.444002708,3,0.315,0
33,0.474297079,275.64768,15,187.3885421,1.099077475,1,0.56,0.7
33,0.453257595,275.64768,16,214.3655555,1.060950716,2,0.56,0
33,0.380092132,153.1376,17,184.1280007,1.094604357,3,0.315,0
33,0.463103269,275.64768,15,201.4362017,1.24537057,1,0.56,0.7
33,0.5105962,275.64768,16,146.0721469,1.248575163,2,0.56,0
33,0.45925313,153.1376,17,114.6812243,1.235632383,3,0.315,0
33,0.457007745,275.64768,15,209.3751684,1.311084905,1,0.56,0.7
33,0.436905138,275.64768,16,237.1272775,1.336034647,2,0.56,0
33,0.376095054,153.1376,17,188.4099152,1.424927024,3,0.315,0
33,0.510370668,275.64768,15,146.310707,0.999999724,1,0.56,0.7
